"hotel_id","base_price","big_area_name","small_area_name","hotel_latitude","hotel_longitude","is_business"
h_1,26100,D,D-2,43.06456855822263,141.51139666434983,True
h_2,26400,A,A-1,35.71531970202519,139.93944644588987,True
h_3,41300,E,E-4,35.28157168065808,136.98856536061078,False
h_4,5200,C,C-3,38.43129309709185,140.79561484434421,False
h_5,13500,G,G-3,33.597291462214194,130.5338715811148,True
h_6,49500,A,A-3,35.912763699782325,139.73128106597213,True
h_7,18900,C,C-2,38.32870158964997,140.89496934194355,False
h_8,12400,B,B-2,35.543318290612,139.7987370494236,False
h_9,31400,C,C-1,38.232673596731956,140.79569303443034,False
h_10,5600,A,A-3,35.91387423929255,139.93100303561386,False
h_11,37400,G,G-1,33.49659766289563,130.53629390756853,False
h_12,6700,C,C-2,38.33454196078078,140.7939031575355,False
h_13,4700,F,F-3,34.629660875878365,132.46814488852027,False
h_14,7700,D,D-1,43.05955405620435,141.4130513963924,False
h_15,4300,E,E-4,35.28469720328332,136.9808692485576,False
h_16,22700,A,A-3,35.911392792694706,139.93251080375714,False
h_17,20400,E,E-3,35.28027465150361,136.8856232593416,False
h_18,27800,G,G-1,33.49167636684799,130.53605776430155,True
h_19,12000,A,A-1,35.70928111086795,139.83388371573236,False
h_20,7100,C,C-3,38.43569663944218,140.69932577987717,False
h_21,11200,E,E-1,35.17825159213537,136.8878913810523,False
h_22,10700,D,D-3,43.1648753862305,141.40822904209315,True
h_23,65100,B,B-1,35.440620095541554,139.80122709143333,False
h_24,4600,E,E-1,35.18682065663093,136.88324426174773,True
h_25,10100,A,A-1,35.81216105732196,139.73956630746193,True
h_26,49900,C,C-2,38.33265532587113,140.89743821132123,True
h_27,18700,D,D-1,43.05772423925032,141.41253242916008,False
h_28,5700,B,B-2,35.53829386619586,139.69456471585934,False
h_29,9300,C,C-1,38.236610133612686,140.89159399025507,True
h_30,7700,A,A-1,35.71416604926431,139.83766963685287,True
h_31,17600,C,C-1,38.23801003510353,140.69983256033652,True
h_32,14300,A,A-3,35.91145214173665,139.73218762657154,True
h_33,7500,E,E-4,35.28791464941572,136.98589500833583,False
h_34,8500,B,B-2,35.53749000421026,139.7024123529372,True
h_35,3500,A,A-1,35.810670894361685,139.73277470766047,True
h_36,30300,A,A-3,35.91060989964724,139.8367616349796,False
h_37,25100,B,B-2,35.54079104820202,139.70029305428255,False
h_38,56000,C,C-1,38.23707687274041,140.89504886163823,True
h_39,5000,E,E-2,35.18362252892799,136.98482222992163,False
h_40,8900,D,D-3,43.16539930665659,141.41334946543185,False
h_41,3900,A,A-3,35.91546455345561,139.83383028960793,False
h_42,11300,A,A-1,35.714525102534544,139.7368975674431,False
h_43,18100,B,B-1,35.43709341143696,139.79907723151274,True
h_44,4900,B,B-1,35.44158088391273,139.69989759649303,False
h_45,10000,D,D-3,43.16183305333212,141.41158955018167,True
h_46,18500,A,A-3,35.91147739267313,139.83120213696165,True
h_47,11600,B,B-3,35.63900295418753,139.60024683611414,False
h_48,45000,C,C-3,38.428380471440974,140.79224223538228,False
h_49,15300,B,B-2,35.546286070491256,139.59512694111882,True
h_50,5100,C,C-2,38.3373010410009,140.79561995720783,False
h_51,13400,C,C-2,38.329355670732575,140.89348668069456,False
h_52,27100,B,B-1,35.43914736868312,139.6933876643441,False
h_53,3700,G,G-4,33.594891733761635,130.6325567470118,False
h_54,12800,E,E-2,35.18643325113912,136.9841964851999,False
h_55,14200,G,G-3,33.595080752032736,130.53116876795107,False
h_56,31900,C,C-3,38.43564020454271,140.89835357721896,True
h_57,41000,G,G-1,33.49110978627459,130.53612590291925,False
h_58,33500,F,F-4,34.63819511330699,132.5655381437589,True
h_59,24800,C,C-1,38.2310343899673,140.89268745749607,False
h_60,11700,C,C-2,38.331754989524384,140.89852060597855,False
h_61,74800,F,F-2,34.535370186200666,132.56832955492433,False
h_62,46800,E,E-3,35.28036186096146,136.88628318425464,True
h_63,14900,B,B-1,35.44330880940346,139.59537751294286,True
h_64,16000,B,B-3,35.64025205869253,139.69574814316584,True
h_65,8400,C,C-2,38.332624353775934,140.8959110117425,False
h_66,34600,E,E-1,35.18388957228551,136.88837013349078,False
h_67,31800,F,F-3,34.63629419431955,132.47135747585358,True
h_68,8600,G,G-2,33.499196231736626,130.6313110427283,False
h_69,10200,A,A-1,35.811359366118175,139.73899187967245,False
h_70,7800,F,F-3,34.63159002386705,132.4691482212435,False
h_71,23000,E,E-4,35.284796467353694,136.98375110374351,False
h_72,9700,B,B-2,35.5457117777557,139.59615731813682,True
h_73,19900,B,B-3,35.636976939751484,139.60091624398783,True
h_74,4800,A,A-3,35.81255849178545,139.9359246229512,False
h_75,8100,B,B-2,35.54586020010928,139.70121711838777,False
h_76,9200,C,C-3,38.43594203210128,140.79762175708507,False
h_77,44200,D,D-4,43.165511617130015,141.50825480521402,True
h_78,10700,F,F-1,34.53295330528054,132.46382268635648,True
h_79,20000,D,D-2,43.06503304426503,141.51593030335678,False
h_80,36700,B,B-1,35.43900688734999,139.69503459988567,True
h_81,12400,E,E-2,35.179863615566504,136.98353974514433,True
h_82,12700,C,C-1,38.238242745450236,140.89661172740162,True
h_83,62200,A,A-3,35.81570431627479,139.9384770828849,False
h_84,24400,B,B-3,35.64411220624793,139.69603036381906,True
h_85,21500,D,D-1,43.065961995486106,141.41003313584267,False
h_86,21400,A,A-1,35.80949006936037,139.8380373197813,True
h_87,6200,F,F-4,34.63815599742987,132.56478236687457,False
h_88,24300,F,F-4,34.63463035301243,132.56646277966433,False
h_89,8800,A,A-1,35.8094738165006,139.73155418097542,True
h_90,8000,A,A-3,35.91594277894465,139.93177209914327,True
h_91,46000,D,D-3,43.16366397868197,141.4158682781267,False
h_92,34400,E,E-4,35.28465697312748,136.98266660303614,True
h_93,9800,C,C-2,38.33096422889063,140.8984330099228,True
h_94,15700,A,A-1,35.80881659768227,139.7315240493871,True
h_95,43200,F,F-3,34.63686166884898,132.46906996390447,True
h_96,7400,C,C-1,38.23489608651995,140.79260103234105,True
h_97,20900,C,C-2,38.33632396596101,140.69679216163567,False
h_98,18900,A,A-1,35.714174861162995,139.74047879065347,False
h_99,22400,C,C-2,38.334516151793856,140.793374468569,True
h_100,4800,A,A-3,35.91286854891621,139.93647182037472,False
h_101,14000,A,A-1,35.710798844440525,139.83625568289514,True
h_102,6000,B,B-3,35.63723206610887,139.7997069035397,True
h_103,16200,D,D-1,43.05768010433451,141.41614723067212,True
h_104,42200,A,A-1,35.708838344306685,139.83215509423277,False
h_105,10300,E,E-1,35.18183084670643,136.8857715193437,False
h_106,22200,F,F-2,34.53163820431749,132.5721697621577,True
h_107,18800,C,C-3,38.43706542417879,140.8983335318642,True
h_108,8600,G,G-1,33.49994874818697,130.5306559931853,False
h_109,10500,D,D-1,43.06524691550758,141.40988357830454,True
h_110,26400,A,A-3,35.80856749083728,139.93768769036953,True
h_111,43600,C,C-1,38.231329189352444,140.79140307022303,True
h_112,39000,B,B-2,35.5364329410515,139.5961913783232,False
h_113,19300,A,A-3,35.91107404481859,139.83308561130207,True
h_114,19200,C,C-2,38.336437189829354,140.69275221494522,False
h_115,41000,B,B-3,35.644406694660205,139.59439612790177,False
h_116,13400,G,G-2,33.49116577746428,130.6358255531615,True
h_117,14700,A,A-3,35.91297931082891,139.8323136611133,True
h_118,10800,G,G-2,33.492927980030935,130.63030709172574,False
h_119,6600,D,D-1,43.06207503404144,141.4120219592387,False
h_120,43400,G,G-3,33.59087482943807,130.53113753827935,True
h_121,23000,B,B-2,35.54546689674436,139.59991336597662,False
h_122,6700,C,C-1,38.23618279155651,140.89859980738137,False
h_123,5600,C,C-2,38.332984326353966,140.6980551448538,False
h_124,66600,D,D-4,43.15662576173507,141.50977589534847,False
h_125,10800,D,D-2,43.0610486249356,141.50914624994786,False
h_126,19100,B,B-3,35.64064867603106,139.8007996043022,True
h_127,42000,D,D-2,43.056172375637054,141.50815533916463,True
h_128,9200,F,F-3,34.63712861921457,132.46733566840675,False
h_129,8000,D,D-2,43.05991891794841,141.5104447483162,False
h_130,25200,B,B-3,35.636615070534205,139.695805386899,True
h_131,13900,E,E-4,35.285448664407,136.98564517285868,True
h_132,20400,C,C-1,38.23184150335627,140.79726757440457,True
h_133,12600,A,A-3,35.91225348785046,139.83217901883154,False
h_134,67600,E,E-1,35.1866420385625,136.88333689721324,False
h_135,11600,B,B-3,35.63959229106075,139.79748358190807,False
h_136,20700,B,B-3,35.64106768938096,139.8003835163444,False
h_137,6200,F,F-1,34.538252199941326,132.46950691700567,True
h_138,9600,C,C-1,38.228310452483846,140.89857906273593,False
h_139,15800,A,A-1,35.81280764334896,139.73768910811992,True
h_140,10100,B,B-1,35.440943063087836,139.6943243568826,False
h_141,17700,E,E-3,35.28043043536059,136.88879941745043,True
h_142,9300,C,C-3,38.43154164314605,140.69546855687543,True
h_143,19800,C,C-3,38.433511515657436,140.79322747013967,False
h_144,10000,A,A-1,35.71245930786538,139.83325551519798,False
h_145,18800,C,C-3,38.43733679812743,140.8929308319114,False
h_146,42600,G,G-3,33.59978005588083,130.5306611668496,True
h_147,13400,C,C-1,38.23726094126412,140.79488537245618,True
h_148,9800,E,E-4,35.28549168534354,136.98521242923724,True
h_149,25600,F,F-3,34.637405668008284,132.46951988546257,True
h_150,25200,B,B-2,35.54622884968111,139.6936874894262,True
h_151,41500,E,E-4,35.285363869228455,136.98803510486883,False
h_152,16900,A,A-1,35.71350857611043,139.9346928089367,False
h_153,14100,B,B-3,35.63809091002345,139.70022511071068,False
h_154,9700,B,B-2,35.54032484923701,139.59584887130322,False
h_155,24100,G,G-2,33.49994764962651,130.63206866968818,True
h_156,18400,B,B-2,35.54555063893813,139.59600783909164,False
h_157,34600,A,A-3,35.91639535520708,139.93984510223416,False
h_158,9900,C,C-3,38.434977196060494,140.70045939937035,False
h_159,64700,A,A-3,35.81388805688265,139.93695369497752,False
h_160,12400,C,C-3,38.4350917748077,140.89806810788116,False
h_161,44600,A,A-1,35.71607634589527,139.8396871447072,True
h_162,10500,A,A-3,35.916273248164906,139.83290156822838,True
h_163,21400,F,F-1,34.532626345151975,132.46877862896255,True
h_164,12700,E,E-2,35.18405872088408,136.98802770978315,False
h_165,17800,F,F-4,34.63126262542358,132.5704722961546,False
h_166,16600,G,G-1,33.495245671014494,130.53032354561734,True
h_167,27900,E,E-3,35.28787475073307,136.88218136708696,False
h_168,13300,F,F-3,34.63564121156634,132.46434392614074,True
h_169,8400,F,F-2,34.52942889201224,132.5708786740776,True
h_170,24700,C,C-1,38.230241476006704,140.7925462318954,True
h_171,25500,C,C-3,38.43280588601153,140.89516218654447,False
h_172,16000,F,F-1,34.532760079912705,132.46614373741406,False
h_173,40000,G,G-4,33.600076015265074,130.6364420096841,True
h_174,22000,F,F-1,34.538591815621636,132.4688652386564,True
h_175,19000,C,C-2,38.33153653340461,140.89563285203883,False
h_176,17400,B,B-1,35.4416783326657,139.70202856171625,True
h_177,70100,C,C-3,38.43541147098942,140.8941242440423,False
h_178,21000,B,B-3,35.64385141086483,139.7958535643932,True
h_179,5600,G,G-4,33.599961904114444,130.63201906517207,False
h_180,54500,C,C-1,38.231378081317246,140.7985486628496,False
h_181,8400,A,A-1,35.71350930943385,139.73910992088693,True
h_182,15500,C,C-2,38.32986221357705,140.8968117916996,False
h_183,9900,G,G-4,33.59524814095058,130.6335670204622,True
h_184,19900,A,A-3,35.90831923662641,139.7349895508458,False
h_185,9600,G,G-1,33.49729743398883,130.5367049881323,True
h_186,7600,C,C-2,38.3350609948254,140.8986400828387,False
h_187,18300,C,C-2,38.336330985945516,140.89791163885417,False
h_188,59200,G,G-4,33.59764325986938,130.6395233609676,False
h_189,8000,B,B-2,35.54554049825179,139.7993493697424,False
h_190,7900,G,G-4,33.595151618438976,130.6303705129536,False
h_191,41300,G,G-1,33.498766557573724,130.52989961416114,True
h_192,15000,C,C-3,38.431762642752325,140.7961328232364,True
h_193,58500,B,B-3,35.64136292796898,139.59434202204724,True
h_194,9900,C,C-1,38.228746518632306,140.7950391915701,True
h_195,50200,A,A-3,35.90987603297052,139.93470178855912,True
h_196,23500,D,D-2,43.0640263775843,141.51127643705937,False
h_197,4000,C,C-2,38.3353688607701,140.6998234910806,False
h_198,19300,F,F-4,34.62983605316541,132.568677592897,True
h_199,18200,B,B-1,35.441225901448284,139.59805673766843,False
h_200,8400,B,B-2,35.53843305972292,139.6978891301702,False
h_201,8900,B,B-3,35.64591039159577,139.59983491840043,False
h_202,14500,C,C-1,38.231464220207116,140.89597547338585,True
h_203,27900,A,A-1,35.81257709945028,139.83419219187678,False
h_204,12100,A,A-1,35.71130226274903,139.7388368086054,False
h_205,7100,B,B-3,35.639283063657956,139.80043510668838,False
h_206,24200,F,F-2,34.53671100567272,132.56954525157084,False
h_207,8800,A,A-1,35.71116495813312,139.83874932604652,False
h_208,8900,E,E-4,35.28594269874166,136.98160393613983,False
h_209,17200,B,B-3,35.64283737472063,139.7928824453137,False
h_210,9700,A,A-3,35.916430136180665,139.93956896699967,False
h_211,10500,F,F-3,34.62980606583455,132.46386138625454,False
h_212,12300,A,A-1,35.81823386048806,139.83690615148288,True
h_213,5200,B,B-3,35.639630519964605,139.69308946811654,True
h_214,48600,C,C-2,38.33399424275985,140.79183603507371,False
h_215,15400,A,A-1,35.71699434683336,139.7395148807481,True
h_216,19300,A,A-1,35.71039667696941,139.93094690683313,False
h_217,11400,B,B-2,35.54470322228935,139.79443971256103,True
h_218,21000,D,D-4,43.15851330740281,141.5063404776606,True
h_219,10300,B,B-3,35.64472936123362,139.6933889258853,True
h_220,12400,F,F-1,34.5387544520896,132.46425862732517,True
h_221,5500,D,D-3,43.159853379903545,141.40684391661392,False
h_222,20000,C,C-1,38.2293701817522,140.89767922197402,True
h_223,68500,C,C-2,38.32909728396168,140.69816533158763,True
h_224,4000,F,F-2,34.53782473607598,132.56561082184487,True
h_225,7200,G,G-3,33.594455400066146,130.53020545607401,True
h_226,9600,F,F-3,34.62911573994112,132.4724828512814,True
h_227,7900,A,A-1,35.71827027199825,139.83613894960072,False
h_228,7700,B,B-1,35.439306112187495,139.5959517736043,False
h_229,7400,E,E-1,35.18316226890353,136.87992041912915,True
h_230,17400,B,B-3,35.64186269434304,139.70154853529115,False
h_231,14600,A,A-3,35.914150525137174,139.83752015210513,True
h_232,28500,C,C-2,38.33023228850895,140.69390352185246,False
h_233,8900,B,B-2,35.5457828106721,139.79735317362562,False
h_234,5600,G,G-1,33.49652169715598,130.53371823561315,False
h_235,4200,C,C-3,38.43122465625906,140.79400384387634,False
h_236,15500,B,B-1,35.43730574244471,139.69550971963508,False
h_237,10300,C,C-1,38.23206750103772,140.79426655244754,True
h_238,8800,C,C-2,38.32846785714857,140.8910526965187,False
h_239,56500,A,A-1,35.81791602360967,139.84056554652253,False
h_240,26700,C,C-2,38.330799991341095,140.79725835352326,False
h_241,6000,A,A-1,35.81540930881771,139.8390455477878,False
h_242,8300,A,A-3,35.909960979844634,139.94069679171835,True
h_243,27700,A,A-1,35.71235675523694,139.93903193206336,True
h_244,9900,B,B-1,35.446158066292,139.60221488994216,True
h_245,13800,C,C-2,38.333763970120785,140.69555635960893,False
h_246,38800,C,C-1,38.23757985578524,140.6915184878514,False
h_247,71200,C,C-1,38.23569258067688,140.69755720061528,True
h_248,17200,A,A-1,35.81014203318107,139.73411652235706,False
h_249,48700,F,F-3,34.637749676740334,132.47005812204023,False
h_250,25800,B,B-1,35.4406536814722,139.7977682427789,False
h_251,5700,C,C-3,38.43569028524794,140.70011934510964,True
h_252,22200,C,C-3,38.43553536871958,140.89642364667637,False
h_253,5200,C,C-3,38.43021967999742,140.69657130538738,True
h_254,5000,A,A-3,35.91284568001036,139.93957429497144,True
h_255,38500,A,A-1,35.714654416454884,139.83900924168626,False
h_256,34500,C,C-1,38.23729380047828,140.69613145016714,True
h_257,8000,C,C-1,38.22903069603359,140.69336444847292,False
h_258,7400,E,E-1,35.18425619168479,136.88794523911142,False
h_259,58400,C,C-2,38.32963526112296,140.79873126671967,True
h_260,41000,A,A-1,35.715599203938744,139.7347776200073,False
h_261,10300,D,D-2,43.06508580925424,141.50643679625563,False
h_262,19000,C,C-3,38.43411369486528,140.69748617334864,True
h_263,22900,D,D-3,43.158374807414404,141.41575765567424,True
h_264,13100,E,E-2,35.18762427290423,136.98049277390308,True
h_265,18600,D,D-3,43.15942665598775,141.4141917809999,True
h_266,11600,B,B-2,35.536672577413206,139.59800520901263,True
h_267,9800,A,A-1,35.81782955133883,139.73439515495247,False
h_268,20400,B,B-1,35.43996104687528,139.6991131975132,True
h_269,67600,A,A-3,35.81580891687405,139.93724045915758,True
h_270,8300,G,G-3,33.59583737851211,130.53001346162597,False
h_271,8700,F,F-3,34.63648122559818,132.46891003132995,False
h_272,28400,C,C-3,38.43213023565119,140.79544159643027,True
h_273,44900,A,A-3,35.809546778752605,139.9406536194416,True
h_274,15700,D,D-4,43.164427285827635,141.5088605907751,False
h_275,18600,D,D-4,43.1647809205422,141.50954693063827,True
h_276,39500,B,B-1,35.43789082028552,139.59538654666412,True
h_277,13100,C,C-1,38.23398539557083,140.79560274996973,True
h_278,10600,A,A-3,35.8098958468867,139.9328108295452,False
h_279,6300,C,C-3,38.43154644511701,140.69147737159324,True
h_280,6300,C,C-2,38.331220130072424,140.896418402928,False
h_281,15900,F,F-4,34.636730130418165,132.56910780979908,True
h_282,21100,A,A-1,35.81546080006623,139.73879902265554,False
h_283,20300,A,A-3,35.81131662441952,139.93708965014162,True
h_284,10000,A,A-3,35.81675996503695,139.9333353798261,False
h_285,11900,B,B-2,35.540820901136556,139.79990523328493,True
h_286,22200,G,G-1,33.4966544154736,130.53288294166555,False
h_287,14500,G,G-4,33.596284061936764,130.63857796955847,True
h_288,18100,C,C-2,38.331789939038394,140.8003193560254,True
h_289,20100,C,C-2,38.33808276045966,140.79351925567832,False
h_290,15900,C,C-2,38.32993580954257,140.89364662458794,False
h_291,33500,C,C-2,38.328961292441164,140.79675898756156,True
h_292,9100,D,D-1,43.05786893483166,141.40998159306062,True
h_293,30800,A,A-1,35.814679103331386,139.83779994658954,False
h_294,40100,E,E-1,35.18047783532538,136.88304667077915,True
h_295,5600,C,C-1,38.23680043315676,140.79153076990394,False
h_296,17200,F,F-4,34.638426309010946,132.56471337582542,True
h_297,30000,A,A-3,35.815512280584606,139.94025936435946,False
h_298,9800,A,A-1,35.717253722722845,139.73892608746738,False
h_299,24200,C,C-2,38.33572510620345,140.79771431779022,False
h_300,16300,C,C-1,38.23280275782486,140.7986293430345,False
